Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs,Item
Premia Badam (Almonds),Premia,451,329,Grocery,Grocery/Dry Fruits,500 gm,India,Grocery > Grocery/Dry Fruits,Almonds
Premia Badam (Almonds),Premia,109,85,Grocery,Grocery/Dry Fruits,100 gm,India,Grocery > Grocery/Dry Fruits,Almonds
Premia Badam (Almonds),Premia,202,175,Grocery,Grocery/Dry Fruits,200 gm,India,Grocery > Grocery/Dry Fruits,Almonds
Nutraj California Almonds (Badam),Nutraj,599,349,Grocery,Dry Fruits,500 gm,USA,Grocery > Dry Fruits,Almonds
Nutraj California Almonds (Badam),Nutraj,1549,659,Grocery,Dry Fruits,1 kg,USA,Grocery > Dry Fruits,Almonds
Chana Dal,,49,42,Grocery,Dals,500 gm,India,Grocery > Dals,Chana Dal
Chana Dal,,96,80,Grocery,Dals,1 kg,India,Grocery > Dals,Chana Dal
Rajma White,,112,102,Grocery,Pulses,500 gm,India,Grocery > Pulses,Rajma
Rajma Kashmiri Red,,101,81,Grocery,Pulses,500 gm,India,Grocery > Pulses,Rajma
Premia Mamra Badam,Premia,634,488,Grocery,Dry Fruits,200 gm,India,Grocery > Dry Fruits,Almonds
Tata Sampann Chana Dal,Tata,64,49,Grocery,Dals,500 gm,"Overview:Chana dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Chana Dal has a rich flavour and aroma, and provides essential amino acids for complete protein. Used in a variety of soups, salads, sweets and savouries, chana dal is an essential in every household.Key Features:Source of proteinEasy to digestProvides essential amino acidsStorage Condition:Store in a cool and dry place.",Grocery > Dals,Chana Dal
Tata Sampann Chana Dal,Tata,125,112,Grocery,Dals,1 kg,"Overview:Chana dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Chana Dal has a rich flavour and aroma, and provides essential amino acids for complete protein. Used in a variety of soups, salads, sweets and savouries, chana dal is an essential in every household.Key Features:Source of proteinEasy to digestProvides essential amino acidsStorage Condition:Store in a cool and dry place.",Grocery > Dals,Chana Dal
Rajma Red Small,,61,56,Grocery,Pulses,500 gm,India,Grocery > Pulses,Rajma
Nutraj Almond,Nutraj,299,175,Grocery,Dry Fruits,200 gm,"Allergen InformationContains tree nuts, This product has been packed in an integrated nuts and dried fruits processing unit and may contain traces of other nuts and dried fruits.",Grocery > Dry Fruits,Almonds
Satyam Rajma Pink,Satyam,149,138,Grocery,Pulses,500 gm,"OverviewRajma or Kidney beans are famously used throughout the Indian Subcontinent. They are cultivated in the Kashmir valley and have a strong and robust colour and flavour. They are a good source of protein and are also rich in protein, thiamine (vitamin B1), potassium, copper, iron, magnesium. They are an interesting addition to soups salads and rice dishes, maybe most famously the renowned Rajma Chawal.Key Features- Rich in Proteins, Vitamins and Minerals",Grocery > Pulses,Rajma
KMK Almond Mamra (Badam),KMK,750,575,Grocery,Dry Fruits,200 gm,StorageStore in a cool and dry place. Keep away from sunlight and bad odour,Grocery > Dry Fruits,Almonds
DMart Healthy Choice Unpolished Chana Dal,DMart Healthy Choice,117,94,Grocery,Dals,1 kg,"OverviewFor most Indians, comfort food is always linked to easy-to-cook homemade meals and what can be the most convenient and quick to prepare dal. A staple in the Indian diet, Chana dal has a rich flavour and aroma and provides protein. It can also be used in a variety of soups, salads, sweets, pakoras, and savouries. Essential in every household, Tata Sampann Chana dal is unpolished as it does not undergo any artificial polishing with water, oil, or leather thereby retaining its goodness and wholesomeness.The 5-step process ensures that Chana dal grains are uniform and of premium quality, giving you an all-natural, authentic taste. So, whenever you are in the mood to cook something easy and delicious, dive into the scrumptious taste of Chana dal, and enjoy a lovely meal!How to UseAmazing Recipes : Used in a variety of soups, salads, sweets, pakoras, and savouries.Storage Store in a cool and dry place. Transfer contents in an airtight container after opening.",Grocery > Dals,Chana Dal
Satyam Rajma Sharmili,Satyam,129,119,Grocery,Pulses,500 gm,Key Features- Packed with care and hygiene.- Premium product.,Grocery > Pulses,Rajma
Satyam Chana Dal,Satyam,77,71,Grocery,Dals,500 gm,"OverviewChana Dal or Bengal Gram is used to make dal and many other dishes. This classic Chana dal recipe features sweet, nutty split Bengal gram pressure cooked and then lightly fried on the stovetop with a variety of spices and aromatics. It is highly nutritious and goes well with rice and roti.Key Features- Highly nutritious- High in Fibre- Low in Fat- High in ProteinAbout the BrandIt takes experience & expertise to deliver the right taste. Since the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulse, and Groceries. Keeping pace with consumer requirements, they have introduced a hygienically processed consumer pack of Satyam Spices, Dry-Fruits, Pulses, and Groceries.",Grocery > Dals,Chana Dal
Tata Sampann 100% Organic Unpolished Chana Dal,Tata Sampann,190,171,Grocery,Dals,1 kg,"Overview:Chana dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Chana Dal has a rich flavour and aroma, and provides essential amino acids for complete protein. Used in a variety of soups, salads, sweets and savouries, chana dal is an essential in every household.Key Features:UnpolishedSource of proteinEasy to digestProvides essential amino acidsStorage Condition:Store in a cool and dry place.",Grocery > Dals,Chana Dal
KMK Almond American (Badam),Kanji Manji Kothari,258,216,Grocery,Dry Fruits,200 gm,StorageStore in a cool and dry place. Keep away from sunlight and bad odour,Grocery > Dry Fruits,Almonds
Tata Sampann Organic Unpolished Rajma Red,Tata Sampann,142,127,Grocery,Pulses,500 gm,"Overview Tata Sampann Red Rajma has the goodness of nature, natural taste and unpolished, produced without the use of chemical fertilizers and pesticides with an environmentally responsible and sustainable agriculture approach. Hygienically packed and certified as per the National Programme for Organic Production (NPOP), India. An important source of protein that is naturally available and helps us in making all your meals nutritious.Key Features- Organic pulses from the Tata Sampann- Sourced from certified organic farms",Grocery > Pulses,Rajma
DMart Premia Almonds Salted,Premia,200,119,Grocery,Grocery/Dry Fruits,100 gm,"list of IngredientsCommodity: Almonds.Ingredients: Roasted Almonds (99%), Iodised Salt (1%).Shelf Life (Days/Months)Best before four months from packagingOther Must Know Information  - Packed in a BRC certified facility  - Allergen Information: Packed in a facility that handles tree nuts, Soya, Sulphites, and Dairy products.Storage instructions - Keep the product sealed to preserve freshness.- Refrigeration is recommended for longer storage life.",Grocery > Grocery/Dry Fruits,Almonds
ProV Select California Almonds,ProV,749,374,Grocery,Dry Fruits,500 gm,"Key Features- Premium products inspiring healthier choices for nutritional living - Sourced from the finest orchards and choicest suppliers from India and abroad - A step towards wholesome goodnessAny Other Must-Know Information- Allergen advice : Packed in a facility that packs tree nuts. May contain dry fruits and other nutsIngredients- Almond kernelsBenefits- Almonds are known to be rich in proteinCare Instructions- Store in a cool, dry and hygienic placeManufacturer NameProv Foods Pvt LtdMarketed ByProv Foods Pvt LtdMarketer AddressProv Foods Private Limited, Gen 71/2, TTC Industrial Area, Gen 71/2, TTC Industrial Area, Navi Mumbai-400710, Navi Mumbai Municipal, Corporation (Thane Zone-2), Maharashtra-400710Customer Care Number022-62110900",Grocery > Dry Fruits,Almonds
Moong Dal,,71,60,Grocery,Dals,500 gm,India,Grocery > Dals,Moong Dal
Moong Dal,,139,124,Grocery,Dals,1 kg,India,Grocery > Dals,Moong Dal
Nutraj Cashews,Nutraj,699,399,Grocery,Dry Fruits,500 gm,Key Features&bull; Nutritious &bull; Delicious &bull; Full of Magnesium &bull; Naturally High in Copper and PhosphorousIngredientsCashew NutsOther must know InformationRefrigerate for freshness and Natural taste,Grocery > Dry Fruits,Cashew
